Age (kyr BP)	Hematite/(Hematite+Goethite)
0.015	0.291
0.030	0.247
0.044	0.335
0.059	0.328
0.073	0.215
0.088	0.294
0.103	0.409
0.117	0.334
0.132	0.354
0.147	0.189
0.162	0.205
0.177	0.297
0.193	0.227
0.208	0.319
0.223	0.338
0.238	0.438
0.254	0.271
0.269	0.311
0.284	0.430
0.299	0.483
0.315	0.286
0.330	0.306
0.345	0.424
0.360	0.624
0.376	0.640
0.391	0.693
0.407	0.758
0.424	0.669
0.440	0.808
0.457	0.775
0.473	0.867
0.490	0.689
0.506	0.542
0.523	0.486
0.539	0.830
0.554	0.811
0.569	0.596
0.585	0.394
0.600	0.439
0.615	0.385
0.630	0.359
0.646	0.327
0.664	0.383
0.705	0.411
0.746	0.483
0.788	0.452
0.829	0.477
0.870	0.477
0.912	0.434
0.953	0.299
0.994	0.340
1.050	0.348
1.113	0.341
1.175	0.356
1.237	0.244
1.299	0.237
1.361	0.271
1.424	0.384
1.486	0.314
1.548	0.102
1.610	0.130
1.673	0.129
1.735	0.092
1.798	0.095
1.860	0.126
1.922	0.063
1.985	0.089
2.047	0.083
2.149	0.175
2.255	0.079
2.362	0.096
2.467	0.130
2.573	0.092
2.678	0.179
2.783	0.174
2.888	0.154
2.988	0.167
3.081	0.169
3.174	0.256
3.266	0.157
3.359	0.236
3.451	0.090
3.544	0.103
3.636	0.119
3.729	0.142
3.800	0.163
3.867	0.223
3.935	0.187
4.003	0.193
4.070	0.148
4.138	0.108
4.205	0.241
4.273	0.152
4.339	0.219
4.401	0.149
4.463	0.154
4.526	0.151
4.588	0.265
4.650	0.105
4.712	0.088
4.774	0.041
4.837	0.067
4.906	0.047
4.977	0.033
5.048	0.110
5.119	0.110
5.190	0.207
5.261	0.167
5.332	0.149
5.403	0.217
5.474	0.240
5.544	0.189
5.615	0.152
5.685	0.144
5.755	0.116
5.826	0.273
5.896	0.082
5.967	0.165
6.037	0.225
6.100	0.183
6.160	0.367
6.219	0.256
6.279	0.244
6.339	0.427
6.399	0.433
6.458	0.506
6.518	0.468
6.579	0.080
6.645	0.175
6.710	0.111
6.776	0.238
6.842	0.211
6.907	0.263
6.973	0.229
7.038	0.150
7.104	0.122
7.168	0.148
7.232	0.193
7.296	0.122
7.360	0.152
7.424	0.244
7.488	0.216
7.552	0.088
7.616	0.082
7.673	0.133
7.734	0.093
7.794	0.115
7.855	0.193
7.916	0.232
7.977	0.170
8.038	0.322
8.099	0.303
8.160	0.287
8.221	0.499
8.280	0.357
8.338	0.579
8.395	0.528
8.453	0.638
8.510	0.413
8.568	0.720
8.625	0.461
8.682	0.694
8.740	0.505
8.797	0.546
8.876	0.544
8.956	0.260
9.035	0.460
9.115	0.604
9.194	0.661
9.273	0.489
9.353	0.408
9.432	0.647
9.512	0.391
9.580	0.711
9.636	0.511
9.692	0.615
9.748	0.763
9.804	0.670
9.860	0.463
9.916	0.635
9.972	0.769
10.028	0.572
10.084	0.727
10.142	0.246
10.200	0.655
10.258	0.726
10.316	0.220
10.375	0.264
10.433	0.446
10.491	0.286
10.549	0.321
10.607	0.306
10.759	0.446
10.844	0.312
10.930	0.625
11.016	0.436
11.101	0.405
11.187	0.483
11.273	0.465
11.358	0.527
11.444	0.408
11.538	0.362
11.636	0.461
11.734	0.290
11.832	0.272
