Age (kyr BP)	SGS (<16μm)
0.495	70.906
0.580	55.317
0.665	47.567
0.755	48.966
0.851	49.610
0.946	47.811
1.041	47.701
1.319	52.737
1.631	56.523
2.252	53.115
2.547	59.822
3.137	51.634
3.404	51.498
3.647	50.504
3.890	50.641
4.133	50.527
4.395	54.381
4.659	56.190
4.923	48.171
5.199	50.977
5.510	49.508
5.821	52.092
6.132	55.890
6.312	56.191
6.407	64.763
6.597	69.347
6.681	72.760
6.763	73.802
6.846	74.961
6.928	75.506
7.008	73.953
7.088	73.593
7.169	73.779
7.244	72.553
7.316	73.013
7.388	74.665
7.460	70.901
7.540	71.820
7.620	70.178
7.700	69.122
7.784	70.156
7.876	74.703
7.967	72.891
8.059	72.739
8.170	70.111
8.289	71.467
8.407	72.338
8.531	73.783
8.710	74.668
8.890	76.148
9.069	72.992
9.240	75.381
9.400	73.513
9.559	74.898
9.718	83.873
9.883	83.750
10.048	83.313
10.214	79.362
0.000	78.674
10.447	78.704
10.596	76.398
10.744	75.845
0.000	74.217
11.041	75.871
11.188	74.872
11.335	74.503
11.483	71.495
11.629	69.266
11.775	68.007
11.921	72.213
12.067	71.894
12.367	76.066
12.519	75.352
12.670	76.803
12.805	75.632
12.928	76.965
13.052	77.913
13.175	76.497
13.261	80.160
13.322	77.072
13.384	75.103
13.445	73.786
13.507	71.142
13.570	70.407
13.633	72.492
13.697	71.002
13.759	62.182
13.820	70.172
13.881	68.282
13.943	67.721
14.003	66.950
14.063	68.776
14.123	67.693
14.183	74.524
14.242	73.787
14.302	67.937
14.362	82.782
14.421	82.509
14.484	79.842
14.549	87.085
14.614	82.749
14.678	89.690
14.741	88.244
14.803	77.836
14.864	86.446
14.926	88.690
14.987	87.764
15.048	80.402
15.108	72.404
15.169	69.378
15.262	58.295
15.376	49.947
15.491	53.665
15.605	48.620
15.760	46.094
15.941	49.232
16.122	46.044
16.492	52.453
16.685	58.211
17.071	62.672
17.264	56.114
17.457	57.682
17.650	61.591
17.843	63.826
18.058	64.970
18.273	64.271
18.487	65.458
18.699	60.734
18.892	65.008
19.084	67.086
19.276	42.516
19.442	48.124
19.587	56.997
19.876	53.712
20.015	59.817
20.154	57.662
20.293	78.526
20.430	77.785
20.565	76.900
20.701	75.986
20.836	77.333
20.973	79.921
21.111	75.418
21.249	78.901
21.387	77.039
21.524	78.050
21.662	77.718
21.799	81.007
22.062	76.920
22.365	82.603
22.668	80.630
22.942	81.413
23.096	80.348
23.251	79.782
23.405	79.354
23.563	80.364
23.722	83.626
23.881	84.192
24.041	82.912
24.200	81.209
24.359	80.347
24.681	79.754
24.845	84.952
25.009	81.346
25.174	80.109
25.327	80.223
25.481	74.080
25.634	71.916
25.789	72.764
25.945	74.620
26.101	75.972
26.258	74.061
26.574	76.534
26.733	79.619
26.891	86.927
27.051	73.449
27.210	63.366
27.369	62.375
27.528	59.929
27.687	73.937
27.847	80.088
28.076	85.131
28.183	84.605
28.290	86.056
28.397	83.478
28.500	85.423
28.531	83.296
28.589	66.733
28.624	60.709
28.716	57.158
28.809	57.374
28.901	56.591
28.997	63.881
29.093	75.777
29.284	72.678
29.381	70.208
29.477	67.629
29.574	63.046
29.671	68.655
29.768	66.393
29.867	64.297
29.965	56.784
30.064	57.515
30.163	62.160
30.259	65.043
30.352	57.755
30.445	66.626
30.538	61.458
30.631	60.240
30.716	69.828
30.798	73.238
30.879	74.114
30.961	74.043
31.039	72.449
31.100	74.443
31.161	75.834
31.222	76.795
31.283	79.674
31.343	77.220
31.404	63.712
31.464	64.381
31.524	62.634
31.585	74.326
31.643	77.001
31.702	74.549
31.761	71.500
31.820	73.678
31.879	75.244
31.939	78.019
31.998	68.173
32.058	61.060
32.117	61.349
32.233	76.235
32.292	73.935
32.350	71.161
32.408	77.067
32.466	75.239
32.524	73.675
32.582	73.802
32.641	77.093
32.699	80.342
32.757	78.573
32.815	80.927
32.874	80.012
32.932	81.841
32.991	83.198
33.050	84.994
33.110	84.945
33.110	80.059
33.231	84.740
33.294	82.733
33.357	83.916
33.420	81.689
33.484	80.830
33.557	87.351
33.629	89.407
33.701	83.368
33.809	84.069
33.882	82.561
33.954	80.439
34.026	70.749
34.098	82.309
34.180	83.066
34.261	84.892
34.342	81.170
34.424	80.000
34.505	79.703
