Age (kyr BP)	frequency-dependence susceptibility/Hematite
0.015	1.269
0.030	1.812
0.044	1.544
0.059	2.030
0.073	2.922
0.088	3.168
0.103	1.327
0.117	1.846
0.132	2.474
0.147	1.977
0.162	2.733
0.177	1.749
0.193	2.294
0.208	1.637
0.223	2.037
0.238	1.518
0.254	1.798
0.269	2.611
0.284	2.654
0.299	1.792
0.315	2.470
0.330	2.647
0.345	1.789
0.360	1.928
0.376	1.385
0.391	0.549
0.407	1.040
0.424	1.072
0.440	0.933
0.457	0.810
0.473	0.564
0.490	0.814
0.506	1.048
0.523	1.929
0.539	0.739
0.554	0.816
0.569	2.248
0.585	2.689
0.600	2.456
0.615	4.665
0.630	NaN
0.646	NaN
0.664	NaN
0.705	0.687
0.746	NaN
0.788	NaN
0.829	NaN
0.870	NaN
0.912	NaN
0.953	NaN
0.994	NaN
1.050	NaN
1.113	NaN
1.175	NaN
1.237	NaN
1.299	NaN
1.361	NaN
1.424	NaN
1.486	NaN
1.548	NaN
1.610	NaN
1.673	NaN
1.735	NaN
1.798	NaN
1.860	NaN
1.922	NaN
1.985	6.769
2.047	NaN
2.149	NaN
2.255	NaN
2.362	NaN
2.467	NaN
2.573	NaN
2.678	3.793
2.783	1.620
2.888	NaN
2.988	NaN
3.081	4.310
3.174	5.967
3.266	NaN
3.359	NaN
3.451	NaN
3.544	NaN
3.636	NaN
3.729	NaN
3.800	NaN
3.867	NaN
3.935	5.219
4.003	6.267
4.070	7.507
4.138	NaN
4.205	2.898
4.273	7.511
4.339	NaN
4.401	NaN
4.463	NaN
4.526	NaN
4.588	NaN
4.650	NaN
4.712	NaN
4.774	NaN
4.837	NaN
4.906	NaN
4.977	NaN
5.048	4.951
5.119	6.525
5.190	3.231
5.261	3.913
5.332	5.634
5.403	3.916
5.474	3.509
5.544	7.244
5.615	5.239
5.685	7.045
5.755	9.052
5.826	4.425
5.896	NaN
5.967	6.783
6.037	6.829
6.100	8.346
6.160	4.201
6.219	4.252
6.279	6.429
6.339	2.918
6.399	3.755
6.458	3.329
6.518	3.653
6.579	4.305
6.645	2.137
6.710	4.385
6.776	4.175
6.842	2.461
6.907	2.291
6.973	1.948
7.038	2.578
7.104	3.334
7.168	3.269
7.232	2.492
7.296	4.064
7.360	2.595
7.424	1.962
7.488	2.180
7.552	3.563
7.616	4.841
7.673	3.027
7.734	5.053
7.794	4.293
7.855	3.687
7.916	3.232
7.977	5.269
8.038	2.439
8.099	3.118
8.160	3.253
8.221	1.869
8.280	2.614
8.338	1.218
8.395	1.375
8.453	0.746
8.510	1.662
8.568	0.606
8.625	1.279
8.682	0.876
8.740	1.227
8.797	0.763
8.876	1.578
8.956	3.932
9.035	2.005
9.115	0.903
9.194	0.602
9.273	1.287
9.353	1.153
9.432	0.344
9.512	0.813
9.580	0.508
9.636	0.801
9.692	2.231
9.748	0.941
9.804	0.596
9.860	0.857
9.916	1.255
9.972	1.143
10.028	1.372
10.084	1.548
10.142	6.039
10.200	1.273
10.258	2.073
10.316	3.493
10.375	3.355
10.433	1.593
10.491	2.394
10.549	3.909
10.607	2.030
10.759	2.078
