Age (kyr BP)	stack-	stack	stack+
0.015	-1.44808373	-0.955390168	-0.462696606
0.115	-1.147916463	-1.023497895	-0.899079327
0.215	-1.244447452	-1.090749797	-0.937052142
0.315	-1.472178105	-1.402905724	-1.333633343
0.415	-0.221919982	0.343089329	0.908098641
0.515	-0.694428946	-0.458083166	-0.221737386
0.615	-2.164485174	-1.544992583	-0.925499992
0.715	-0.685660443	-0.21694148	0.251777483
0.815	-0.464535647	-0.432453988	-0.400372329
0.915	-0.833427715	-0.771932331	-0.710436948
1.015	-1.158142746	-1.158097743	-1.158052739
1.115	-1.418020367	-1.292750312	-1.167480257
1.215	-1.634693089	-1.561849667	-1.489006245
1.315	-1.820499486	-1.759106527	-1.697713567
1.415	-1.983147106	-1.501056345	-1.018965584
1.515	-2.127774372	-1.997782957	-1.867791543
1.615	-2.338003654	-2.297991358	-2.257979062
1.715	-2.480589131	-2.428483881	-2.376378631
1.815	-2.484936902	-2.484789937	-2.484642972
1.915	-2.667189919	-2.626177495	-2.585165071
2.015	-2.625900314	-2.602773867	-2.579647419
2.115	-2.538518971	-2.39724125	-2.255963528
2.215	-2.444873728	-2.431286291	-2.417698853
2.315	-2.565531758	-2.454764231	-2.343996705
2.415	-2.429620144	-2.332148457	-2.234676771
2.515	-2.432399169	-2.273884836	-2.115370503
2.615	-2.35604877	-2.170058533	-1.984068296
2.715	-2.077986116	-1.838630064	-1.599274011
2.815	-2.128135603	-1.562303828	-0.996472054
2.915	-2.184331609	-1.843514475	-1.50269734
3.015	-2.131606339	-1.999135889	-1.866665439
3.115	-2.232980059	-2.090073558	-1.947167056
3.215	-2.477371648	-2.180860951	-1.884350254
3.315	-2.455521152	-2.206058004	-1.956594857
3.415	-2.433299101	-2.337108639	-2.240918176
3.515	-2.510006372	-2.460349506	-2.41069264
3.615	-2.416888573	-2.402288405	-2.387688236
3.715	-2.364271627	-2.3261812	-2.288090774
3.815	-2.34042777	-2.209268732	-2.078109694
3.915	-2.316140784	-2.139273837	-1.962406889
4.015	-2.595869623	-2.315305949	-2.034742275
4.115	-2.486986813	-2.436013179	-2.385039545
4.215	-1.81735731	-1.806006503	-1.794655696
4.315	-2.762540451	-2.370765673	-1.978990895
4.415	-2.702623281	-2.464544661	-2.226466041
4.515	-2.63982649	-2.428039111	-2.216251733
4.615	-2.573859251	-2.273801642	-1.973744034
4.715	-2.58017113	-2.542277728	-2.504384327
4.815	-2.737646537	-2.584327087	-2.431007637
4.915	-2.808603628	-2.580934171	-2.353264714
5.015	-2.644438623	-2.457520751	-2.270602879
5.115	-2.585049322	-2.515653198	-2.446257075
5.215	-1.990423584	-1.884286867	-1.77815015
5.315	-2.311787612	-2.259080487	-2.206373362
5.415	-1.912481368	-1.872639386	-1.832797404
5.515	-2.425666895	-2.160163041	-1.894659187
5.615	-2.316237967	-2.267105492	-2.217973018
5.715	-2.853734085	-2.589840103	-2.325946122
5.815	-2.291761363	-1.987146981	-1.682532598
5.915	-2.479095188	-2.476785588	-2.474475988
6.015	-2.659747237	-2.287519919	-1.915292601
6.115	-2.751371455	-2.270443543	-1.789515632
6.215	-2.04220723	-1.819429891	-1.596652551
6.315	-2.064875642	-1.582305615	-1.099735589
6.415	-1.840133572	-1.195140289	-0.550147007
6.515	-1.839057794	-1.148681548	-0.458305301
6.615	-2.326883063	-1.983374478	-1.639865893
6.715	-2.390808389	-2.23488423	-2.078960071
6.815	-1.82766366	-1.742075644	-1.656487627
6.915	-1.623665205	-1.417330005	-1.210994806
7.015	-2.072044711	-1.671559383	-1.271074056
7.115	-2.355948422	-2.038578601	-1.72120878
7.215	-2.053397959	-1.751222127	-1.449046295
7.315	-2.333206423	-2.084538348	-1.835870273
7.415	-1.778372751	-1.434413364	-1.090453976
7.515	-2.160860184	-1.820571276	-1.480282367
7.615	-2.600504103	-2.403947703	-2.207391302
7.715	-2.470914158	-2.282776735	-2.094639311
7.815	-2.271710736	-2.131273503	-1.990836271
7.915	-1.778883974	-1.73336737	-1.687850766
8.015	-1.791118317	-1.691230524	-1.59134273
8.115	-1.652618967	-1.527502307	-1.402385647
8.215	-1.061138547	-0.736317483	-0.411496419
8.315	-0.899117976	-0.619198369	-0.339278761
8.415	-0.343387296	-0.133148636	0.077090025
8.515	-0.742374224	-0.683120675	-0.623867126
8.615	-0.346409576	-0.299007705	-0.251605835
8.715	-0.246794255	-0.028426019	0.189942216
8.815	-0.082978956	-0.060594699	-0.038210442
8.915	-1.462126567	-1.137196461	-0.812266356
9.015	-1.345381147	-1.068581135	-0.791781123
9.115	-0.018203513	0.135128091	0.288459696
9.215	0.166301981	0.256598862	0.346895742
9.315	-0.586223136	-0.496957986	-0.407692836
9.415	0.240919761	0.474294745	0.70766973
9.515	-0.813482634	-0.33611472	0.141253193
